0	-180.
0.001	-179.96740709201134
0.002	-179.93481457432281
0.003	-179.9022220696822
0.004	-179.86962920083735
0.005	-179.83703559053603
0.006	-179.80444086152607
0.007	-179.77184463655522
0.008	-179.7392465383713
0.009000000000000001	-179.70664618972214
0.01	-179.6740432133555
0.011	-179.64143723201917
0.012	-179.608827868461
0.013000000000000001	-179.57621474542873
0.014	-179.5435974856702
0.015	-179.5109757119332
0.016	-179.47834904696552
0.017	-179.44571711351497
0.018000000000000002	-179.41307953432934
0.019	-179.38043593215644
0.02	-179.34778592974405
0.021	-179.31512914984
0.022	-179.28246521519205
0.023	-179.24979374854803
0.024	-179.21711437265571
0.025	-179.18442671026293
0.026000000000000002	-179.15173038411743
0.027	-179.11902501696707
0.028	-179.08631023155962
0.029	-179.05358565064287
0.03	-179.02085089696465
0.031	-178.98810559327273
0.032	-178.9553493623149
0.033	-178.922581826839
0.034	-178.8898026095928
0.035	-178.85701133332412
0.036000000000000004	-178.82420762078073
0.037	-178.79139109471046
0.038	-178.75856137786107
0.039	-178.7257180929804
0.04	-178.69286086281622
0.041	-178.65998931011634
0.042	-178.62710305762855
0.043000000000000003	-178.59420172810067
0.044	-178.56128494428046
0.045	-178.5283523289158
0.046	-178.49540350475436
0.047	-178.46243809454407
0.048	-178.42945572103264
0.049	-178.39645600696792
0.05	-178.3634385750977
0.051000000000000004	-178.33040304816973
0.052000000000000005	-178.2973490489319
0.053	-178.26427620013192
0.054	-178.23118412451763
0.055	-178.1980724448368
0.056	-178.1649407838373
0.057	-178.13178876426684
0.058	-178.09861600887328
0.059000000000000004	-178.06542214040442
0.06	-178.032206781608
0.061	-177.99896980645354
0.062	-177.96571842566553
0.063	-177.93244435640406
0.064	-177.8991471674872
0.065	-177.865826427733
0.066	-177.83248170595954
0.067	-177.79911257098487
0.068	-177.76571859162706
0.069	-177.73229933670416
0.07	-177.69885437503422
0.07100000000000001	-177.6653832754353
0.07200000000000001	-177.63188560672546
0.073	-177.59836093772276
0.074	-177.5648088372453
0.075	-177.53122887411106
0.076	-177.49762061713815
0.077	-177.46398363514461
0.078	-177.43031749694853
0.079	-177.39662177136793
0.08	-177.3628960272209
0.081	-177.32913983332548
0.082	-177.29535275849975
0.083	-177.26153437156174
0.084	-177.2276842413295
0.085	-177.19380193662116
0.08600000000000001	-177.1598870262547
